Area,mnemonic,Gross Disposable Household Income (GDHI),Balance of primary income,Primary resources,Operating surplus,Mixed income,Compensation of employees,Property income received,Primary uses,Property income paid,Balance of secondary income,Secondary resources,Imputed social contributions/Social benefits received other than social transfers in kind,Other current transfers received,Secondary uses,Current taxes on income and wealth,Social contributions/Social benefits paid,Other current transfers paid
ladu:Chelmsford,E07000070,3876,4761,4845,562,396,3308,579,84,84,-885,1005,923,82,1890,865,906,120
ladu:Colchester,E07000071,3548,4229,4299,465,417,2864,553,69,69,-681,984,903,81,1665,654,886,126
ladu:Epping Forest,E07000072,3695,4427,4509,546,447,2502,1013,82,82,-732,768,706,62,1500,713,699,88
ladu:Harlow,E07000073,1456,1637,1665,188,189,1195,94,28,28,-181,451,412,39,632,234,341,57
ladu:Maldon,E07000074,1402,1572,1603,208,154,1007,233,31,31,-170,422,391,31,591,274,274,43
ladu:Rochford,E07000075,1812,2170,2212,280,183,1399,350,42,42,-358,471,432,39,828,347,426,56
ladu:Tendring,E07000076,2636,2429,2484,367,287,1461,369,55,55,207,1050,987,64,844,317,438,89
ladu:Uttlesford,E07000077,2222,2768,2816,322,243,1720,531,48,48,-545,500,458,41,1045,510,476,58
ladu:Broxbourne,E07000095,2064,2367,2412,306,249,1565,293,46,46,-302,534,489,45,836,356,416,64
ladu:Dacorum,E07000096,3750,4679,4756,515,394,3104,743,77,77,-929,832,761,71,1761,849,810,102
ladu:East Hertfordshire,E07000242,3768,4877,4957,537,380,3295,745,80,80,-1110,801,732,69,1910,950,863,98
ladu:Hertsmere,E07000098,2994,3593,3655,415,355,2126,759,62,62,-599,609,561,48,1208,601,540,67
ladu:North Hertfordshire,E07000099,3192,3916,3976,402,330,2637,607,60,60,-724,751,689,62,1475,692,695,88
ladu:St Albans,E07000240,4439,6016,6123,720,401,4081,921,107,107,-1577,882,815,67,2459,1315,1049,95
ladu:Stevenage,E07000243,1597,1866,1894,189,183,1384,139,28,28,-269,441,401,40,710,280,370,59
ladu:Three Rivers,E07000102,2649,3294,3352,383,267,2046,656,57,57,-645,544,501,43,1189,601,527,61
ladu:Watford,E07000103,2125,2647,2694,314,277,1827,275,47,47,-522,447,403,44,969,421,484,64
ladu:Welwyn Hatfield,E07000241,2588,3161,3211,335,255,2166,455,50,50,-573,629,572,58,1202,564,555,84
ladu:Breckland,E07000143,2345,2405,2448,289,249,1571,339,43,43,-60,832,769,62,891,306,494,92
ladu:Broadland,E07000144,2557,2828,2876,325,257,1717,577,49,49,-271,787,734,52,1057,390,590,77
ladu:Great Yarmouth,E07000145,1485,1518,1542,167,138,1050,187,25,25,-32,580,540,40,612,208,345,59
ladu:King's Lynn and West Norfolk,E07000146,2633,2733,2786,352,282,1710,442,53,53,-101,899,833,66,1000,319,580,101
ladu:North Norfolk,E07000147,1959,1747,1794,314,223,939,318,47,47,212,788,741,47,576,204,303,68
ladu:Norwich,E07000148,2163,2450,2483,218,254,1741,270,33,33,-287,741,684,57,1028,340,596,92
ladu:South Norfolk,E07000149,2603,2862,2913,335,273,1795,510,50,50,-259,820,759,61,1079,400,589,89
ladu:Babergh,E07000200,1876,2115,2152,250,209,1341,352,37,37,-238,584,543,40,822,334,430,58
ladu:Ipswich,E07000202,2196,2510,2545,230,246,1879,190,34,34,-314,734,675,59,1048,355,601,93
ladu:Mid Suffolk,E07000203,1972,2267,2307,266,212,1442,387,40,40,-295,580,535,45,875,338,471,66
ladu:East Suffolk,E07000244,4849,4916,5009,619,437,2995,957,93,93,-67,1717,1607,110,1784,673,953,158
ladu:West Suffolk,E07000245,3240,3788,3848,401,380,2461,605,60,60,-548,889,811,78,1437,526,794,117
ladu:Camden,E09000007,10467,13646,13802,1443,1844,7273,3242,156,156,-3179,1114,1032,82,4293,2506,1651,136
ladu:City of London,E09000001,1669,2311,2325,130,379,1292,524,14,14,-641,78,75,3,719,523,192,4
ladu:Hackney,E09000012,6524,8199,8299,920,1142,5070,1167,100,100,-1675,1196,1120,76,2871,1182,1559,130
ladu:Hammersmith and Fulham,E09000013,7469,10260,10401,1296,962,6438,1706,140,140,-2791,786,716,70,3577,2152,1315,110
ladu:Haringey,E09000014,7552,8999,9127,1183,1386,5150,1407,128,128,-1446,1266,1187,79,2712,1255,1324,133
ladu:Islington,E09000019,7172,9800,9911,1027,1121,6385,1379,111,111,-2628,996,924,71,3623,1866,1634,123
ladu:Kensington and Chelsea,E09000020,12418,17175,17446,2496,1624,8978,4347,270,270,-4757,826,766,60,5583,3846,1645,92
ladu:Lambeth,E09000022,8872,11971,12111,1287,1378,8029,1416,139,139,-3099,1263,1167,97,4362,2015,2182,165
ladu:Lewisham,E09000023,6632,8231,8343,1035,1059,5347,902,112,112,-1598,1291,1203,88,2889,1191,1550,147
ladu:Newham,E09000025,6415,7481,7577,882,1516,4566,613,95,95,-1066,1246,1152,94,2312,777,1374,161
ladu:Southwark,E09000028,8121,11015,11135,1106,1176,7336,1517,120,120,-2895,1192,1098,94,4086,1877,2050,160
ladu:Tower Hamlets,E09000030,7826,10684,10792,1001,1144,7401,1246,108,108,-2857,1128,1044,84,3985,2080,1760,146
ladu:Wandsworth,E09000032,12124,17082,17306,2066,1604,11143,2493,224,224,-4958,1329,1219,110,6286,3597,2512,178
ladu:Westminster,E09000033,13190,17968,18263,2724,2133,10154,3252,295,295,-4777,1267,1181,86,6045,4066,1840,139
ladu:Barking and Dagenham,E09000002,3458,3892,3938,422,754,2538,224,46,46,-434,902,834,68,1336,429,798,109
ladu:Barnet,E09000003,10979,13327,13530,1881,1747,7457,2446,204,204,-2348,1915,1780,135,4263,2122,1930,211
ladu:Bexley,E09000004,5131,6142,6226,780,594,4143,710,84,84,-1011,1240,1157,83,2251,944,1179,127
ladu:Brent,E09000005,7921,9283,9418,1242,1546,5511,1118,135,135,-1362,1494,1392,102,2857,1156,1534,166
ladu:Bromley,E09000006,8669,10789,10944,1430,955,7071,1489,155,155,-2120,1936,1811,125,4056,1994,1871,191
ladu:Croydon,E09000008,8327,9974,10115,1305,1143,6476,1190,141,141,-1647,1942,1813,129,3589,1439,1946,203
ladu:Ealing,E09000009,8936,11284,11438,1422,1438,7250,1328,154,154,-2348,1634,1519,115,3982,1871,1930,181
ladu:Enfield,E09000010,7174,7962,8090,1181,1099,4680,1129,128,128,-788,1813,1703,111,2601,1028,1400,173
ladu:Greenwich,E09000011,6220,8145,8237,858,896,5627,856,93,93,-1924,1228,1135,93,3152,1433,1567,152
ladu:Harrow,E09000015,6585,7839,7958,1104,1140,4394,1321,120,120,-1253,1217,1128,88,2470,1060,1274,136
ladu:Havering,E09000016,5586,6792,6883,835,730,4358,960,90,90,-1206,1330,1240,90,2536,984,1416,136
ladu:Hillingdon,E09000017,6291,7597,7708,1028,813,5054,813,111,111,-1306,1437,1330,106,2742,1100,1475,167
ladu:Hounslow,E09000018,6372,8073,8159,800,972,5386,1001,87,87,-1701,1125,1028,97,2826,1391,1283,152
ladu:Kingston upon Thames,E09000021,4444,5905,5991,788,563,3816,823,85,85,-1461,782,720,63,2243,1119,1026,98
ladu:Merton,E09000024,6097,8213,8313,927,874,5307,1205,100,100,-2116,970,896,73,3086,1551,1420,116
ladu:Redbridge,E09000026,6621,8006,8123,1080,1131,4769,1143,117,117,-1385,1294,1198,97,2679,1080,1446,153
ladu:Richmond upon Thames,E09000027,7481,10674,10815,1307,834,6889,1785,141,141,-3193,1067,995,71,4260,2561,1591,108
ladu:Sutton,E09000029,4578,5558,5634,701,605,3581,746,76,76,-979,974,901,72,1953,855,987,111
ladu:Waltham Forest,E09000031,5995,7268,7373,973,1234,4519,647,105,105,-1273,1163,1075,89,2436,899,1394,143
ladu:Bracknell Forest,E06000036,2591,3371,3419,389,268,2435,326,48,48,-780,558,508,50,1338,603,661,75
ladu:Brighton and Hove,E06000043,6287,7486,7621,1106,1015,4376,1124,135,135,-1199,1334,1235,99,2532,937,1432,162
ladu:Isle of Wight,E06000046,2439,2354,2399,369,274,1386,370,45,45,85,941,884,57,856,301,467,88
ladu:Medway,E06000035,5082,5886,5974,719,641,3954,659,88,88,-804,1398,1292,106,2203,785,1256,161
ladu:Milton Keynes,E06000042,5492,6755,6841,703,515,4746,877,86,86,-1263,1303,1198,104,2566,1024,1387,155
ladu:Portsmouth,E06000044,3422,3841,3894,434,464,2550,447,53,53,-420,1009,936,72,1428,463,848,117
ladu:Reading,E06000038,3490,4337,4400,509,384,3086,420,62,62,-847,783,715,68,1630,695,832,103
ladu:Slough,E06000039,2655,3166,3215,402,348,2219,246,49,49,-511,605,546,59,1116,434,593,89
ladu:Southampton,E06000045,4116,4876,4937,498,542,3316,582,61,61,-760,1083,995,87,1842,594,1108,140
ladu:West Berkshire,E06000037,3960,4862,4932,572,386,3209,766,70,70,-902,911,844,67,1813,861,856,96
ladu:Windsor and Maidenhead,E06000040,4598,6029,6124,782,419,3926,998,96,96,-1431,872,809,63,2304,1204,1009,91
ladu:Wokingham,E06000041,4333,5677,5766,721,349,3863,832,88,88,-1345,899,830,69,2244,1098,1047,99
ladu:Buckinghamshire,E06000060,14420,17884,18145,2131,1421,11547,3045,261,261,-3464,3374,3136,238,6837,3417,3076,344
ladu:Eastbourne,E07000061,1995,2008,2043,285,234,1215,310,35,35,-13,704,662,42,716,268,384,64
ladu:Hastings,E07000062,1496,1559,1587,229,228,1024,106,28,28,-63,526,489,37,589,207,322,60
ladu:Lewes,E07000063,2280,2522,2567,369,282,1443,473,45,45,-241,679,637,41,920,390,466,63
ladu:Rother,E07000064,2055,2033,2073,329,233,1130,381,40,40,22,748,709,39,726,316,354,57
ladu:Wealden,E07000065,3806,4443,4513,569,438,2646,860,70,70,-638,1098,1033,65,1736,795,843,98
ladu:Basingstoke and Deane,E07000084,4174,5169,5236,544,354,3569,768,67,67,-995,1006,931,75,2000,890,1000,111
ladu:East Hampshire,E07000085,3091,3662,3721,478,307,2280,655,59,59,-572,794,741,53,1366,638,649,79
ladu:Eastleigh,E07000086,2669,3293,3342,407,261,2239,435,50,50,-623,656,603,53,1279,513,685,81
ladu:Fareham,E07000087,2413,2840,2885,373,209,1921,382,46,46,-427,696,648,48,1123,452,599,72
ladu:Gosport,E07000088,1450,1566,1588,184,144,1127,133,22,22,-116,512,477,35,628,229,346,53
ladu:Hart,E07000089,2573,3293,3342,404,214,2216,508,49,49,-720,598,557,41,1318,639,619,59
ladu:Havant,E07000090,2431,2586,2627,341,262,1662,362,42,42,-155,786,735,51,941,362,502,77
ladu:New Forest,E07000091,4135,4230,4314,682,393,2525,714,83,83,-95,1375,1294,82,1470,642,712,116
ladu:Rushmoor,E07000092,1829,2272,2305,269,196,1696,144,33,33,-443,454,413,41,898,354,482,62
ladu:Test Valley,E07000093,2849,3382,3431,399,271,2272,489,49,49,-533,786,731,55,1318,581,655,82
ladu:Winchester,E07000094,3138,3887,3952,531,302,2495,624,65,65,-749,795,740,55,1545,741,721,83
ladu:Ashford,E07000105,2631,2955,2998,356,285,1946,410,44,44,-323,779,726,52,1102,459,566,78
ladu:Canterbury,E07000106,2886,3209,3269,495,314,1968,492,61,61,-322,893,830,63,1215,434,680,101
ladu:Dartford,E07000107,2194,2759,2801,347,263,1864,327,42,42,-565,477,435,42,1042,404,574,64
ladu:Dover,E07000108,2132,2164,2203,315,220,1354,314,39,39,-32,779,736,43,812,282,461,68
ladu:Gravesham,E07000109,2032,2321,2357,295,254,1534,274,36,36,-289,557,515,42,846,324,460,62
ladu:Maidstone,E07000110,3525,4180,4244,525,403,2729,587,64,64,-655,894,824,70,1549,644,801,104
ladu:Sevenoaks,E07000111,3578,4549,4608,486,324,2903,895,60,60,-971,815,764,52,1786,972,739,75
ladu:Folkestone and Hythe,E07000112,2194,2260,2300,332,223,1361,383,41,41,-65,760,718,42,825,300,460,65
ladu:Swale,E07000113,2723,2953,2998,366,318,1949,366,45,45,-230,835,777,58,1066,403,576,86
ladu:Thanet,E07000114,2468,2408,2454,376,313,1466,299,46,46,60,915,863,52,856,292,483,81
ladu:Tonbridge and Malling,E07000115,2923,3639,3694,448,292,2457,497,55,55,-717,718,662,56,1434,692,661,82
ladu:Tunbridge Wells,E07000116,3002,3726,3782,453,324,2352,652,56,56,-725,682,631,51,1407,713,618,75
ladu:Cherwell,E07000177,3234,3933,3993,488,336,2689,480,60,60,-699,771,710,61,1470,614,765,91
ladu:Oxford,E07000178,3196,3961,4027,534,436,2676,381,65,65,-765,714,649,65,1480,611,766,103
ladu:South Oxfordshire,E07000179,3897,4905,4978,594,400,3117,867,73,73,-1008,860,803,58,1869,900,884,85
ladu:Vale of White Horse,E07000180,3109,3823,3883,487,305,2549,542,60,60,-714,753,698,54,1466,656,731,80
ladu:West Oxfordshire,E07000181,2764,3213,3263,406,289,1902,666,50,50,-449,634,588,45,1083,474,542,66
ladu:Elmbridge,E07000207,5130,7174,7279,856,445,4772,1206,105,105,-2045,904,845,59,2948,1725,1138,85
ladu:Epsom and Ewell,E07000208,2144,2655,2704,404,215,1684,401,49,49,-510,472,437,35,982,480,450,51
ladu:Guildford,E07000209,4028,5013,5089,622,385,3137,944,76,76,-985,853,786,67,1838,928,810,100
ladu:Mole Valley,E07000210,2718,3231,3290,487,255,1959,588,60,60,-513,656,617,39,1169,630,483,56
ladu:Reigate and Banstead,E07000211,3881,4857,4931,605,371,3193,762,74,74,-976,877,813,64,1853,933,826,95
ladu:Runnymede,E07000212,2099,2609,2653,358,218,1706,371,44,44,-510,461,421,40,971,484,428,59
ladu:Spelthorne,E07000213,2325,2764,2815,412,242,1866,295,50,50,-439,580,535,44,1019,456,499,64
ladu:Surrey Heath,E07000214,2399,2961,3006,373,207,1962,464,46,46,-562,567,527,40,1129,566,505,57
ladu:Tandridge,E07000215,2386,2902,2950,390,240,1849,470,48,48,-516,582,543,39,1097,570,472,56
ladu:Waverley,E07000216,3834,4648,4720,589,345,2861,925,72,72,-814,907,851,56,1721,919,723,78
ladu:Woking,E07000217,2798,3587,3641,445,280,2390,526,54,54,-788,591,547,44,1379,698,617,65
ladu:Adur,E07000223,1197,1309,1335,215,149,831,140,26,26,-112,373,347,26,485,171,274,40
ladu:Arun,E07000224,3323,3337,3404,547,361,1967,529,67,67,-14,1139,1073,66,1153,423,631,98
ladu:Chichester,E07000225,3076,3396,3457,498,347,1902,710,61,61,-320,868,818,50,1188,505,608,75
ladu:Crawley,E07000226,2072,2510,2545,290,221,1877,157,35,35,-438,518,472,46,956,371,514,71
ladu:Horsham,E07000227,3627,4170,4242,583,353,2573,733,71,71,-543,952,892,61,1495,706,702,87
ladu:Mid Sussex,E07000228,3636,4427,4498,586,357,2909,646,72,72,-791,902,839,63,1693,809,792,92
ladu:Worthing,E07000229,2159,2328,2373,368,246,1472,287,45,45,-169,690,646,45,859,299,490,70
ladu:Bath and North East Somerset,E06000022,4034,4604,4689,601,455,2784,849,85,85,-569,1073,984,89,1642,652,859,131
"ladu:Bristol, City of",E06000023,8669,10362,10521,1125,1149,6852,1395,159,159,-1693,2138,1950,188,3831,1356,2191,283
ladu:Cornwall,E06000052,9879,9866,10074,1463,1274,5633,1704,208,208,13,3495,3242,254,3483,1104,2004,374
ladu:Isles of Scilly,E06000053,49,49,50,11,9,23,7,2,2,0,15,14,1,15,5,9,2
ladu:North Somerset,E06000024,4496,4829,4911,576,425,3095,815,82,82,-333,1456,1357,99,1789,685,964,139
ladu:Plymouth,E06000026,4215,4495,4557,439,407,3144,567,62,62,-280,1506,1402,104,1786,535,1091,160
ladu:South Gloucestershire,E06000025,5583,6704,6809,747,554,4514,994,106,106,-1120,1430,1301,129,2550,946,1415,189
ladu:Swindon,E06000030,4126,5068,5138,495,402,3677,564,70,70,-941,1039,942,97,1980,744,1096,141
ladu:Torbay,E06000027,2362,2282,2327,321,287,1363,356,45,45,80,885,828,57,805,251,468,86
ladu:Wiltshire,E06000054,10301,11748,11932,1299,1044,7655,1934,184,184,-1447,3077,2840,237,4525,1781,2404,339
ladu:East Devon,E07000040,2896,2862,2927,451,311,1583,582,64,64,34,1037,971,66,1003,351,559,93
ladu:Exeter,E07000041,2073,2398,2441,299,248,1602,292,43,43,-325,644,584,60,969,285,589,95
ladu:Mid Devon,E07000042,1494,1623,1651,195,190,978,287,28,28,-129,474,438,36,603,196,353,54
ladu:North Devon,E07000043,1753,1747,1785,263,223,1014,285,37,37,6,621,577,43,615,202,350,64
ladu:South Hams,E07000044,1980,1982,2027,316,239,970,502,45,45,-2,631,591,40,633,229,347,57
ladu:Teignbridge,E07000045,2495,2620,2672,366,291,1558,456,52,52,-124,842,782,60,967,319,560,88
ladu:Torridge,E07000046,1132,1070,1095,173,151,604,167,25,25,62,438,407,31,376,120,211,45
ladu:West Devon,E07000047,1124,1106,1126,138,123,604,260,20,20,18,407,381,26,389,134,218,37
"ladu:Bournemouth, Christchurch and Poole",E06000058,7822,8626,8796,1197,942,5395,1262,170,170,-804,2349,2174,176,3154,1153,1740,261
ladu:Dorset,E06000059,7657,7764,7937,1216,814,4557,1349,173,173,-107,2741,2562,179,2848,1043,1544,261
ladu:Cheltenham,E07000078,2446,2830,2879,344,260,1819,457,49,49,-384,694,638,56,1078,426,571,82
ladu:Cotswold,E07000079,2504,2851,2902,357,259,1615,670,51,51,-347,647,605,42,994,464,471,59
ladu:Forest of Dean,E07000080,1467,1543,1570,186,172,1019,194,26,26,-77,508,467,41,585,219,307,59
ladu:Gloucester,E07000081,2098,2369,2404,244,210,1781,169,35,35,-271,688,629,59,959,322,549,89
ladu:Stroud,E07000082,2545,2834,2880,326,273,1751,530,46,46,-289,737,681,56,1026,410,535,80
ladu:Tewkesbury,E07000083,1825,2047,2082,251,169,1336,325,36,36,-222,555,513,42,777,304,413,61
ladu:Mendip,E07000187,2300,2456,2499,304,283,1454,458,43,43,-156,704,651,53,860,315,467,78
ladu:Sedgemoor,E07000188,2178,2322,2361,270,241,1528,322,38,38,-145,743,685,57,887,309,494,83
ladu:South Somerset,E07000189,3270,3427,3482,386,323,2111,661,55,55,-157,1079,1000,79,1236,441,681,114
ladu:Somerset West and Taunton,E07000246,2759,2833,2885,365,307,1840,374,52,52,-75,1004,932,72,1079,380,595,104
ladu:Isle of Anglesey,W06000001,1144,1162,1184,155,103,755,172,22,22,-18,450,414,35,468,145,273,50
ladu:Gwynedd,W06000002,1857,1893,1929,256,196,1179,298,37,37,-36,700,641,58,735,227,423,85
ladu:Conwy,W06000003,1949,1911,1947,251,176,1222,298,36,36,38,781,723,58,743,235,426,82
ladu:Denbighshire,W06000004,1589,1606,1630,164,137,1063,266,24,24,-18,622,576,46,640,202,371,67
ladu:Flintshire,W06000005,2703,2985,3026,289,184,2194,360,41,41,-282,950,871,79,1232,444,678,110
ladu:Wrexham,W06000006,2310,2489,2520,217,160,1744,400,31,31,-179,790,723,68,970,336,538,96
ladu:Powys,W06000023,2251,2192,2236,305,276,1224,431,44,44,58,869,799,69,810,257,455,98
ladu:Ceredigion,W06000008,1112,1100,1125,179,127,633,186,26,26,12,428,391,37,416,131,232,53
ladu:Pembrokeshire,W06000009,2018,1975,2015,276,190,1214,336,40,40,43,808,747,61,766,237,441,87
ladu:Carmarthenshire,W06000010,2935,3016,3061,316,248,2037,459,46,46,-80,1207,1116,91,1288,385,771,132
ladu:Swansea,W06000011,3724,3884,3941,393,295,2703,550,56,56,-161,1461,1348,113,1621,499,957,165
ladu:Neath Port Talbot,W06000012,2233,2162,2188,181,138,1612,258,26,26,71,988,922,66,917,285,536,96
ladu:Bridgend,W06000013,2226,2434,2470,257,168,1763,283,37,37,-207,804,737,66,1011,324,590,97
ladu:Vale of Glamorgan,W06000014,2467,2706,2755,340,200,1762,453,49,49,-240,835,775,60,1075,375,616,84
ladu:Cardiff,W06000015,5846,6754,6859,725,535,4655,943,104,104,-909,1860,1694,166,2769,894,1630,245
ladu:Rhondda Cynon Taff,W06000016,3509,3703,3748,315,309,2712,412,45,45,-194,1366,1260,106,1560,483,921,156
ladu:Merthyr Tydfil,W06000024,881,927,936,62,69,677,127,9,9,-46,343,316,27,389,115,235,39
ladu:Caerphilly,W06000018,2730,2905,2941,249,191,2125,376,36,36,-175,1044,963,82,1219,358,742,119
ladu:Blaenau Gwent,W06000019,905,934,943,63,69,743,68,9,9,-29,394,362,32,422,122,254,47
ladu:Torfaen,W06000020,1383,1509,1528,132,96,1115,186,19,19,-126,522,481,42,649,197,391,61
ladu:Monmouthshire,W06000021,1877,2078,2115,257,154,1299,404,37,37,-201,607,558,48,807,322,419,66
ladu:Newport,W06000022,2412,2642,2680,266,181,1975,257,38,38,-230,870,796,74,1100,375,618,107
ladu:Aberdeen City,S12000033,4581,5778,5860,570,305,4235,751,82,82,-1197,1151,1046,105,2348,1006,1184,158
ladu:Aberdeenshire,S12000034,5493,6746,6864,821,384,4648,1011,118,118,-1253,1329,1214,115,2582,1099,1316,168
ladu:Angus,S12000041,2166,2342,2380,264,143,1577,396,38,38,-176,698,652,45,874,298,507,68
ladu:Argyll and Bute,S12000035,1524,1514,1540,181,159,980,220,26,26,10,594,557,37,584,207,321,56
ladu:Clackmannanshire,S12000005,956,959,970,79,56,729,106,11,11,-3,406,385,21,409,141,236,32
ladu:Dumfries and Galloway,S12000006,2581,2634,2675,285,235,1681,475,41,41,-53,979,915,64,1032,302,633,97
ladu:Dundee City,S12000042,2216,2320,2346,184,197,1740,226,26,26,-104,847,789,58,952,296,563,93
ladu:East Ayrshire,S12000008,1989,2155,2180,176,151,1556,298,25,25,-166,694,646,48,860,275,510,75
ladu:East Dunbartonshire,S12000045,2453,2820,2875,383,164,1825,504,55,55,-367,703,658,45,1070,421,582,67
ladu:East Lothian,S12000010,2183,2507,2547,281,183,1674,410,40,40,-324,639,594,45,963,387,509,67
ladu:East Renfrewshire,S12000011,2167,2533,2586,363,131,1563,528,52,52,-366,547,510,38,914,370,487,57
ladu:City of Edinburgh,S12000036,11140,13368,13585,1510,1219,8762,2095,217,217,-2228,2736,2534,202,4964,2043,2605,317
ladu:Na h-Eileanan Siar,S12000013,444,468,475,45,42,316,71,7,7,-25,156,144,12,180,55,108,18
ladu:Falkirk,S12000014,2732,3134,3170,251,196,2362,361,36,36,-402,872,806,67,1274,441,733,101
ladu:Fife,S12000047,6309,6948,7052,726,432,5001,893,104,104,-639,2167,2013,153,2805,957,1616,232
ladu:Glasgow City,S12000049,9749,11038,11173,937,901,7962,1373,135,135,-1289,3114,2901,213,4402,1429,2625,349
ladu:Highland,S12000017,4333,4735,4827,640,381,3130,677,92,92,-402,1379,1278,102,1782,596,1032,154
ladu:Inverclyde,S12000018,1302,1338,1353,109,72,1036,137,16,16,-35,522,490,33,558,201,307,49
ladu:Midlothian,S12000019,1660,1929,1963,235,129,1394,205,34,34,-269,495,456,39,764,281,426,57
ladu:Moray,S12000020,1618,1836,1866,204,131,1280,251,29,29,-218,505,464,42,724,246,415,62
ladu:North Ayrshire,S12000021,2146,2238,2265,191,141,1671,262,28,28,-92,837,783,54,929,301,545,83
ladu:North Lanarkshire,S12000050,5528,6315,6384,485,381,4831,688,70,70,-786,1757,1625,132,2543,839,1502,203
ladu:Orkney Islands,S12000023,389,452,460,55,34,283,88,8,8,-63,116,106,10,179,47,118,15
ladu:Perth and Kinross,S12000048,2926,3232,3288,387,253,2130,517,56,56,-307,923,858,65,1230,485,648,97
ladu:Renfrewshire,S12000038,3013,3372,3422,348,184,2595,294,50,50,-359,1041,968,73,1400,498,790,111
ladu:Scottish Borders,S12000026,2155,2275,2314,271,193,1452,398,39,39,-120,744,693,50,864,306,482,75
ladu:Shetland Islands,S12000027,452,546,555,58,47,384,65,8,8,-94,112,101,11,206,72,119,15
ladu:South Ayrshire,S12000028,2032,2120,2157,259,132,1461,305,37,37,-88,744,697,47,831,294,465,72
ladu:South Lanarkshire,S12000029,5648,6467,6558,630,408,4688,832,91,91,-819,1797,1667,130,2616,902,1516,198
ladu:Stirling,S12000030,1839,2086,2113,191,154,1415,353,28,28,-247,594,554,41,841,342,437,62
ladu:West Dunbartonshire,S12000039,1371,1460,1476,111,86,1185,95,16,16,-89,540,502,37,629,204,367,57
ladu:West Lothian,S12000040,3149,3713,3758,317,213,2797,431,46,46,-564,963,888,75,1527,524,891,112
ladu:Antrim and Newtownabbey,N09000001,2327,2602,2627,279,201,1806,340,25,25,-275,761,682,79,1036,312,618,107
"ladu:Armagh City, Banbridge and Craigavon",N09000002,3303,3708,3741,357,376,2475,532,32,32,-405,1032,914,118,1437,433,846,158
ladu:Belfast,N09000003,5309,5666,5712,513,600,3882,717,46,46,-357,1850,1686,164,2207,685,1289,233
ladu:Causeway Coast and Glens,N09000004,2309,2359,2385,290,290,1443,363,26,26,-50,782,702,80,832,253,470,109
ladu:Derry City and Strabane,N09000005,2164,2158,2177,211,247,1424,295,19,19,6,824,749,75,818,233,480,104
ladu:Fermanagh and Omagh,N09000006,1763,1868,1886,199,244,1134,310,18,18,-106,602,537,65,708,194,426,88
ladu:Lisburn and Castlereagh,N09000007,2592,3006,3037,344,232,2052,410,31,31,-414,757,673,84,1171,400,659,112
ladu:Mid and East Antrim,N09000008,2338,2534,2558,262,218,1727,351,24,24,-197,761,682,79,958,293,557,107
ladu:Mid Ulster,N09000009,2328,2567,2589,241,329,1594,425,22,22,-239,686,603,83,925,260,554,111
"ladu:Newry, Mourne and Down",N09000010,2742,2960,2990,332,392,1813,452,30,30,-218,890,792,98,1108,314,661,132
ladu:Ards and North Down,N09000011,2782,2936,2969,369,288,1867,445,33,33,-154,1002,911,91,1155,367,664,124
gor:North East,E12000001,42139,45028,45661,4437,3125,32013,6087,633,633,-2889,15580,14385,1195,18469,6104,10612,1753
gor:North West,E12000002,124586,137463,139737,14850,10565,94685,19637,2274,2274,-12877,40890,38116,2774,53767,19010,30489,4268
gor:Yorkshire and The Humber,E12000003,90018,99046,100669,9893,8137,68091,14549,1623,1623,-9028,29944,27731,2213,38972,13331,22307,3335
gor:East Midlands,E12000004,82011,92327,93816,8979,7369,64094,13374,1489,1489,-10316,26077,24011,2066,36393,13183,20152,3059
gor:West Midlands,E12000005,99114,110143,111935,11247,8847,75857,15984,1792,1792,-11029,31827,29441,2386,42856,15347,23931,3577
gor:East,E12000006,127041,149519,152042,16894,13781,99190,22178,2523,2523,-22478,34457,31737,2720,56935,23868,29083,3984
gor:London,E12000007,243320,311543,315729,38658,37537,193388,46147,4186,4186,-68223,40441,37539,2902,108664,53949,50056,4659
gor:South East,E12000008,206588,246103,249978,31663,21894,159796,36624,3875,3875,-39515,53008,49268,3740,92523,41279,45639,5605
gor:South West,E12000009,107531,117317,119406,14723,12036,73862,18786,2090,2090,-9785,33656,31128,2528,43442,15681,24052,3708
gor:Wales,W92000004,50060,52968,53779,5648,4201,36407,7522,811,811,-2908,18698,17214,1485,21606,6947,12515,2144
gor:Scotland,S92000003,98244,111379,113040,11545,7835,78344,15315,1661,1661,-13135,30702,28493,2209,43837,15865,24595,3376
gor:Northern Ireland,N92000002,29956,32365,32672,3399,3415,21217,4641,307,307,-2409,9945,8930,1015,12354,3745,7224,1385
